1.1 Age,1.2 Gender,1.3 Occupation,1.4 Relationship Status,2.1 I spend much more time on social networks than initially intended.(আমি যা ভাবি তার চেয়ে অনেক বেশি সময় সোশ্যাল নেটওয়ার্কে ব্যয় করি।),"2.2 I neglect other activities (work, studies, hobbies) because of social media use.( আমি আমার অন্য গুরুত্বপূর্ণ কাজ যেমন লেখাপড়া, বাড়ির কাজ, নিজের সখের কাজ বাদ দিয়ে সোশ্যাল মিডিয়াতে সময় ব্যয় করি) ",2.3 I feel restless or anxious when I can’t access social media. ( সোশ্যাল মিডিয়া ব্যবহার না করলেই আমার প্রচন্ড  অস্থির ও উদ্বিগ্ন বোধ করি।) ,2.4 I use social media to escape from personal problems or negative emotions. ( আমি ব্যক্তিগত সমস্যা বা নেতিবাচক আবেগ থেকে বাঁচতে সোশ্যাল মিডিয়া ব্যবহার করি।),2.5 I’ve tried to reduce my social media use but failed.( আমি আমার সোশ্যাল মিডিয়া ব্যবহার কমানোর চেষ্টা করেছি কিন্তু ব্যর্থ হয়েছি।),2.6 My productivity suffers due to excessive social media use.( অতিরিক্ত সোশ্যাল মিডিয়া ব্যবহারের কারণে আমার মনযোগ ও দীর্ঘসময় কাজ করার অভ্যাস ক্ষতিগ্রস্ত হচ্ছে।,2.7 I log into social media every once in a while.( আমি কয়েক মিনিট পর পর সোশ্যাল মিডিয়ায় লগইন করি) ,"2.8 I hear the phone ringing every now and then, even though it's not ringing.( আমি মাঝে মাঝে ফোনটা বাজতে শুনি, যদিও ফোনটা বাজছে না।)","2.9 I love posting on social media, I post often, and I feel craving of getting more likes, comments, and shares.( আমি সোশ্যাল মিডিয়ায় পোস্ট করতে ভালোবাসি, আমি প্রায়শই পোস্ট করি এবং আরও লাইক, মন্তব্য এবং শেয়ার পাওয়ার জন্য আমার তীব্র আকাঙ্ক্ষা থাকে।)",2.10 How often do you check your social media account in a day?( একদিন আপনি কতবার সোশ্যাল মিডিয়া একাউন্ট চেক করেন?),2.11 How do use social media before bedtime?( ঘুমানো আগে সোশ্যাল মিডিয়া ব্যবহার করেন?),2.12 Have you ever tried to reduce your social media use?( আপনি কি কখনও আপনার সোশ্যাল মিডিয়া ব্যবহার কমানোর চেষ্টা করেছেন?) ,2.13 Do you check your phone as soon as you wake up?( ঘুম থেকে ওঠার সাথে সাথে কি আপনি আপনার ফোন চেক করেন?) ,2.14 Do you try to update your social class via using social media? (  আপনি কি সোশ্যাল মিডিয়া ব্যবহার করে আপনার সামাজিক শ্রেণী আপডেট করার চেষ্টা করেন?) ,2.15 Avg Daily Usage Social Media(In Hours)। গড় দৈনিক কত ঘন্টা সোশ্যাল মিডিয়া ব্যবহার করি (ঘণ্টায়)?,"3.1 Feeling down, depressed, or hopeless.( হতাশ, বিষণ্ণ, অথবা আশাহীন বোধ করা।)",3.2 Little interest or pleasure in doing things.(কোন কাজ করার প্রতি আগ্রহ বা আনন্দ কম।) ,"3.3 Anxiety, nervousness, or excessive worry.(উদ্বেগ, নার্ভাসনেস, অথবা অতিরিক্ত উদ্বেগ।) ",3.4 Difficulty concentrating due to social media distractions(সোশ্যাল মিডিয়ার বিক্ষেপের কারণে মনোযোগ কেন্দ্রীভূত করতে অসুবিধা),3.5 Sleep disturbances (insomnia or oversleeping).( ঘুমের সমস্যা যেমন অনিদ্র অথবা অনেক বেশি ঘুম) ,3.6 Comparing myself negatively to others on social media(সোশ্যাল মিডিয়ায় অন্যদের সাথে নিজেকে নেতিবাচকভাবে তুলনা করা),3.7 Have you recently been feeling unhappy or depressed?( আপনি কি সম্প্রতি অসুখী বা বিষণ্ণ বোধ করছেন?) ,3.8 Have you recently felt capable of making decisions about things?( আপনি কি সম্প্রতি কোনও বিষয়ে সিদ্ধান্ত নিতে সক্ষম বোধ করেছেন?) ,3.9 Have you not recently been able to concentrate on what you're doing?( আপনি কি সম্প্রতি আপনার কাজের উপর মনোযোগ দিতে পারছেন না?) ,3.10 Have you recently been feeling constantly under strain?( আপনি কি সম্প্রতি ক্রমাগত চাপের মধ্যে থাকেন ?) ,"3.11 Do you have any mental disease like Anxiety Disorders, Depression, Bipolar Disorder, Post-Traumatic Stress Disorder, Schizophrenia, Eating Disorders or others?( আপনার কি কোন মানসিক রোগ আছে যেমন উদ্বেগজনিত ব্যাধি, বিষণ্ণতা, বাইপোলার ব্যাধি, আঘাত পরবর্তী স্ট্রেস ব্যাধি, সিজোফ্রেনিয়া, খাওয়ার ব্যাধি বা অন্য কোন রোগ?)",3.12 Have you ever sought medical attention for your mental health problems?(আপনি কি কখনও আপনার মানসিক স্বাস্থ্য সমস্যার জন্য চিকিৎসার পরামর্শ নিয়েছেন?),4.1 Do you like infinite scrolling in social media?( আপনি কি সোশ্যাল মিডিয়ায় অসীম স্ক্রোলিং পছন্দ করেন?) ,4.2 Affects Academic Performance? If you are student. (একাডেমিক কর্মক্ষমতা প্রভাবিত করে? যদি ছাত্র হয়ে থাকেন) ,4.3 Most Used Platform,4.4 Sleep Hours Per Night?,4.5 Conflicts Over Social Media,"4.6 Overall, how would you rate your mental health considering your social media usage?(  সামগ্রিকভাবে, আপনার সামাজিক যোগাযোগ মাধ্যমের ব্যবহারের কথা বিবেচনা করে আপনার মানসিক স্বাস্থ্যের মূল্যায়ন কীভাবে করবেন?) "
20-30,Male,Student,In Relationship,3,2,3,2,4,4,3,4,2,1-4 times,Yes,Yes,Yes,No,1-3 Hours,2,2,2,2,1,2,No,Yes,Yes,Yes,No,No,No,Yes,"Facebook, Instagram, YouTube",5-7 Hours,2,2
20-30,Male,Employed,Single,3,3,2,4,2,5,4,1,1,More than 10 times,Yes,No,Yes,No,4-6 Hours,2,2,3,4,1,1,Yes,No,Yes,Yes,No,No,Yes,,"Facebook, YouTube, Telegram",5-7 Hours,1,3
40-60,Male,Employed,Married,1,1,1,1,1,2,3,1,1,1-4 times,Yes,No,Yes,No,1-3 Hours,1,1,1,1,1,2,No,No,No,No,No,No,Yes,No,"Facebook, YouTube",5-7 Hours,1,1
20-30,Male,Student,Single,5,3,2,2,5,5,3,1,1,8-10 times,Yes,Yes,Yes,No,1-3 Hours,1,2,1,4,2,1,No,Yes,No,No,Yes,No,No,Yes,"Facebook, Instagram, YouTube, LinkedIn",5-7 Hours,1,4
20-30,Male,Student,Single,4,5,2,2,5,4,2,1,1,5-7 times,Yes,Yes,No,No,1-3 Hours,3,3,2,4,3,4,No,Yes,No,Yes,No,No,Yes,Yes,"Facebook, YouTube",7-9 Hours,3,3
20-30,Male,Student,Single,2,2,3,2,2,2,2,2,2,5-7 times,Yes,Yes,Yes,No,4-6 Hours,2,2,2,2,2,2,No,Yes,Yes,Yes,No,No,Yes,No,YouTube,5-7 Hours,2,2
20-30,Male,Student,Single,4,2,2,3,4,5,5,3,5,5-7 times,Yes,Yes,Yes,Yes,4-6 Hours,3,3,3,3,3,3,Yes,Yes,Yes,Yes,No,No,No,Yes,"Facebook, YouTube, LinkedIn",3-5 Hours,3,3
13-19,Male,Student,Single,5,5,3,1,5,3,4,1,4,More than 10 times,Yes,Yes,Yes,No,7-9 Hours,2,4,3,5,5,5,No,Yes,No,No,No,No,Yes,Yes,"Facebook, Instagram",7-9 Hours,2,4
20-30,Female,Student,Single,3,2,3,1,5,2,2,1,3,1-4 times,Yes,Yes,Yes,Yes,1-3 Hours,4,2,5,3,1,2,Yes,Yes,Yes,No,Yes,No,No,No,"Facebook, Instagram, YouTube, LinkedIn",3-5 Hours,2,3
30-40,Male,Employed,Married,4,3,4,3,4,4,4,4,3,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,3,4,3,4,3,1,No,No,No,Yes,Yes,Yes,Yes,,"Facebook, YouTube, LinkedIn",5-7 Hours,3,3
20-30,Male,Student,Single,4,4,2,1,2,3,2,2,1,5-7 times,No,Yes,No,No,1-3 Hours,3,4,5,3,1,2,Yes,Yes,No,Yes,No,No,No,Yes,YouTube,5-7 Hours,3,5
20-30,Male,Employed,Married,2,1,1,1,1,1,2,1,1,1-4 times,Yes,Yes,Yes,Yes,0-1 Hours,2,1,1,1,1,1,No,Yes,Yes,Yes,No,No,No,No,"Facebook, YouTube, LinkedIn",5-7 Hours,1,3
20-30,Male,Employed,Married,4,3,4,3,4,2,2,5,1,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,3,1,3,3,5,2,Yes,Yes,Yes,No,No,No,Yes,No,Facebook,5-7 Hours,3,3
20-30,Male,Student,In Relationship,2,2,3,1,2,3,1,1,1,More than 10 times,Yes,No,Yes,Yes,1-3 Hours,1,1,4,2,4,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"Facebook, Instagram, Tiktok",7-9 Hours,5,3
30-40,Male,Employed,Married,3,2,1,1,3,2,1,1,1,1-4 times,Yes,Yes,Yes,No,1-3 Hours,1,1,2,2,3,2,Yes,Yes,Yes,No,Yes,No,No,No,"Facebook, YouTube, LinkedIn",5-7 Hours,3,3
20-30,Male,Student,Single,4,3,3,2,3,5,3,1,1,1-4 times,No,Yes,Yes,No,7-9 Hours,3,2,3,5,4,1,No,Yes,Yes,Yes,No,No,No,Yes,"YouTube, LinkedIn",More than 9 Hours,1,3
20-30,Male,Student,In Relationship,2,3,2,2,2,4,4,4,4,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,1,1,1,2,2,2,Yes,Yes,No,Yes,No,Yes,Yes,No,"Facebook, Instagram, Tiktok, YouTube",7-9 Hours,2,3
20-30,Male,Student,Single,3,3,1,2,1,4,2,1,1,5-7 times,Yes,Yes,Yes,No,4-6 Hours,1,3,1,3,4,2,No,No,Yes,Yes,No,No,Yes,Yes,"Facebook, YouTube, LinkedIn",7-9 Hours,2,1
20-30,Female,Student,Single,5,5,3,5,5,3,4,1,2,More than 10 times,Yes,Yes,Yes,Yes,7-9 Hours,5,5,5,3,1,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Facebook, Instagram",7-9 Hours,1,3
20-30,Male,Student,Single,5,5,2,1,1,3,2,2,3,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,2,2,3,1,1,3,Yes,Yes,Yes,No,No,No,Yes,No,"Facebook, Instagram, YouTube, Snapchat",5-7 Hours,2,2
20-30,Male,Employed,Complicated,5,5,5,5,5,5,5,5,5,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,5,5,5,5,5,5,Yes,No,No,No,No,No,Yes,Yes,"Facebook, Instagram, YouTube, LinkedIn",5-7 Hours,5,5
30-40,Male,Unemployed,Married,5,5,5,5,5,5,5,1,1,More than 10 times,Yes,Yes,Yes,No,7-9 Hours,5,5,5,4,5,5,Yes,Yes,No,Yes,No,No,Yes,No,"Facebook, YouTube",1-3 Hours,1,5
30-40,Male,Employed,Married,5,4,3,5,5,5,4,5,4,8-10 times,Yes,Yes,Yes,Yes,4-6 Hours,3,2,2,3,4,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"Facebook, YouTube",5-7 Hours,4,3
20-30,Male,Student,Single,3,2,4,3,5,5,5,3,4,8-10 times,Yes,Yes,Yes,Yes,4-6 Hours,4,4,4,4,5,3,Yes,Yes,No,Yes,No,No,Yes,Yes,"Facebook, Instagram, YouTube",3-5 Hours,3,3
20-30,Male,Student,In Relationship,5,4,3,1,4,4,4,1,4,8-10 times,Yes,No,Yes,No,7-9 Hours,4,4,4,5,4,3,Yes,No,No,Yes,No,No,Yes,Yes,"Facebook, Instagram, YouTube",5-7 Hours,4,3
20-30,Male,Student,Single,4,1,2,1,4,3,3,1,2,5-7 times,Yes,Yes,Yes,No,4-6 Hours,3,2,3,3,1,2,Yes,Yes,Yes,No,No,No,Yes,Yes,"Facebook, YouTube",5-7 Hours,1,2
20-30,Female,Student,Single,4,2,1,4,2,1,2,1,3,5-7 times,Yes,Yes,No,No,1-3 Hours,5,4,5,1,4,3,Yes,No,No,Yes,Yes,Yes,No,Yes,"Instagram, YouTube",3-5 Hours,1,2
20-30,Male,Student,Single,3,2,2,2,1,2,1,1,1,8-10 times,Yes,Yes,Yes,No,4-6 Hours,2,2,1,2,3,1,No,Yes,Yes,No,No,No,Yes,Yes,"Facebook, YouTube, LinkedIn",5-7 Hours,1,1
30-40,Male,Employed,Single,2,1,1,2,3,1,4,5,1,More than 10 times,Yes,No,Yes,Yes,7-9 Hours,1,1,1,1,3,1,No,Yes,Yes,No,No,No,Yes,No,"Facebook, YouTube",7-9 Hours,2,2
20-30,Female,Student,Single,5,5,5,5,4,5,5,1,1,More than 10 times,Yes,Yes,Yes,Yes,More than  Hours,5,5,5,5,5,5,Yes,No,No,Yes,Yes,Yes,Yes,Yes,"Facebook, Instagram, YouTube",1-3 Hours,5,5
20-30,Male,Student,Single,5,5,1,1,5,5,5,1,1,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,5,5,1,5,5,1,No,No,Yes,No,No,No,No,Yes,YouTube,5-7 Hours,1,1
20-30,Male,Student,Single,3,2,2,3,4,3,5,1,3,8-10 times,Yes,Yes,Yes,No,1-3 Hours,3,2,3,4,3,2,No,Yes,Yes,Yes,No,No,No,Yes,"Facebook, Instagram, Tiktok, YouTube, LinkedIn",5-7 Hours,1,3
20-30,Male,Employed,Single,2,1,1,1,2,2,2,1,1,1-4 times,Yes,Yes,Yes,No,0-1 Hours,1,2,1,2,1,1,No,Yes,Yes,Yes,No,No,No,,"YouTube, LinkedIn",5-7 Hours,1,1
20-30,Male,Student,Single,4,3,2,3,4,3,3,1,1,1-4 times,Yes,Yes,Yes,No,1-3 Hours,3,4,4,3,3,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Facebook, YouTube",5-7 Hours,2,3
20-30,Male,Employed,Single,1,2,1,2,1,1,1,1,1,1-4 times,Yes,No,Yes,No,1-3 Hours,3,2,2,1,3,1,No,Yes,Yes,Yes,No,No,No,,YouTube,7-9 Hours,1,2
20-30,Male,Employed,Married,4,3,1,1,2,5,5,2,2,More than 10 times,Yes,Yes,Yes,No,1-3 Hours,2,2,2,2,3,1,No,No,Yes,No,No,No,Yes,,"Facebook, YouTube, LinkedIn",5-7 Hours,2,3
30-40,Male,Employed,Married,4,4,4,4,5,5,3,1,1,8-10 times,Yes,Yes,Yes,Yes,1-3 Hours,4,3,3,4,1,2,No,Yes,Yes,Yes,No,No,No,,"Facebook, YouTube",7-9 Hours,1,2
20-30,Male,Student,Single,4,3,2,2,3,4,2,2,1,1-4 times,Yes,Yes,No,No,1-3 Hours,3,4,4,2,3,1,No,Yes,Yes,Yes,No,No,No,Yes,YouTube,5-7 Hours,1,4
40-60,Male,Employed,Married,4,3,2,2,3,4,2,1,2,8-10 times,Yes,Yes,Yes,No,4-6 Hours,1,1,1,3,1,1,No,Yes,Yes,No,No,No,No,,"Facebook, LinkedIn",5-7 Hours,2,1
20-30,Male,Student,Single,1,1,1,1,1,2,1,1,1,1-4 times,No,Yes,Yes,No,0-1 Hours,2,2,2,1,1,1,No,Yes,Yes,Yes,No,No,No,No,"YouTube, Telegram",5-7 Hours,1,3
20-30,Female,Student,Single,3,2,1,1,3,2,3,1,2,1-4 times,Yes,Yes,Yes,Yes,0-1 Hours,1,1,1,1,1,1,No,Yes,Yes,No,No,No,No,No,YouTube,5-7 Hours,1,1
20-30,Male,Student,Single,4,2,3,5,5,5,4,1,1,5-7 times,Yes,Yes,Yes,Yes,4-6 Hours,4,4,4,5,5,4,Yes,Yes,No,No,No,No,No,Yes,"Facebook, YouTube",7-9 Hours,3,4
20-30,Female,Student,Single,5,3,5,5,3,3,5,5,2,More than 10 times,Yes,No,Yes,No,4-6 Hours,5,2,5,2,2,4,Yes,No,No,Yes,Yes,No,Yes,Yes,"Facebook, YouTube",5-7 Hours,2,3
20-30,Male,Student,Single,4,4,2,5,3,4,5,1,2,More than 10 times,Yes,Yes,Yes,No,7-9 Hours,5,3,5,4,5,2,Yes,Yes,No,Yes,No,No,No,Yes,Facebook,3-5 Hours,3,3
13-19,Male,Student,Single,3,3,4,4,4,3,3,1,1,0 time,Yes,Yes,Yes,No,4-6 Hours,1,1,1,1,5,1,No,Yes,Yes,No,No,No,Yes,Yes,Facebook,3-5 Hours,4,2
30-40,Male,Employed,Married,5,5,3,1,4,5,4,5,5,More than 10 times,Yes,Yes,Yes,Yes,1-3 Hours,5,4,5,3,4,4,Yes,No,Yes,Yes,No,No,Yes,No,"Facebook, YouTube",7-9 Hours,5,4
20-30,Female,Student,Married,3,2,4,5,5,5,5,3,1,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,5,5,4,4,4,4,Yes,No,No,No,No,No,Yes,No,"Facebook, YouTube",7-9 Hours,4,3
20-30,Male,Student,Single,2,1,1,3,3,3,1,5,1,1-4 times,Yes,Yes,No,Yes,1-3 Hours,5,5,5,3,2,5,Yes,Yes,No,Yes,No,No,No,Yes,YouTube,3-5 Hours,2,3
20-30,Female,Student,Married,1,1,1,1,1,1,1,1,1,0 time,No,Yes,Yes,No,0 Hours,5,1,3,1,4,1,Yes,Yes,Yes,Yes,Yes,No,No,No,YouTube,5-7 Hours,1,1
20-30,Female,Student,Single,5,5,1,5,5,5,5,5,5,More than 10 times,Yes,Yes,Yes,No,7-9 Hours,5,5,5,5,5,1,Yes,No,No,Yes,Yes,No,Yes,Yes,"Facebook, YouTube",1-3 Hours,2,5
20-30,Male,Student,In Relationship,5,5,4,4,4,5,5,4,2,5-7 times,Yes,Yes,Yes,Yes,4-6 Hours,3,4,3,5,3,3,Yes,Yes,No,No,No,No,Yes,Yes,"Facebook, Instagram, YouTube",3-5 Hours,2,3
20-30,Male,Employed,Married,4,2,2,5,2,1,4,1,4,More than 10 times,Yes,No,Yes,No,1-3 Hours,5,3,5,3,2,1,Yes,Yes,Yes,Yes,Yes,No,No,No,"Facebook, YouTube, LinkedIn",5-7 Hours,3,3
20-30,Male,Student,Single,2,1,1,1,1,1,1,1,1,8-10 times,Yes,No,Yes,No,1-3 Hours,3,1,2,2,1,1,Yes,Yes,Yes,No,No,No,No,No,"Facebook, YouTube",5-7 Hours,1,2
20-30,Female,Unemployed,Complicated,5,1,5,5,3,3,4,5,3,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,5,5,5,3,4,3,Yes,No,No,Yes,Yes,No,No,,"Facebook, Instagram, YouTube",5-7 Hours,1,4
20-30,Female,Student,In Relationship,5,5,5,5,5,5,5,5,5,More than 10 times,Yes,Yes,Yes,Yes,More than  Hours,5,5,5,5,5,5,Yes,No,No,Yes,Yes,No,Yes,Yes,"Facebook, Instagram, Netmirror",More than 9 Hours,5,5
20-30,Female,Student,Single,3,1,1,2,1,2,3,1,5,1-4 times,Yes,Yes,Yes,No,1-3 Hours,3,2,2,1,2,1,Yes,Yes,Yes,Yes,No,No,No,Yes,"Facebook, YouTube",5-7 Hours,2,4
20-30,Male,Student,Single,3,1,1,1,4,3,2,4,1,More than 10 times,Yes,Yes,Yes,Yes,1-3 Hours,2,1,2,3,1,3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,"Facebook, YouTube, LinkedIn",3-5 Hours,2,2
20-30,Female,Student,Single,3,1,1,5,4,5,3,4,4,8-10 times,Yes,Yes,No,No,1-3 Hours,1,1,1,1,1,1,No,Yes,Yes,Yes,No,No,No,No,"Facebook, Instagram",7-9 Hours,1,2
20-30,Male,Student,In Relationship,5,4,2,2,3,5,4,2,5,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,5,4,5,5,3,3,Yes,No,No,Yes,No,No,Yes,Yes,"Facebook, YouTube",5-7 Hours,1,4
20-30,Male,Student,Single,1,1,1,1,1,1,1,1,1,1-4 times,No,Yes,Yes,No,0-1 Hours,1,1,1,1,1,1,No,Yes,Yes,No,No,No,No,Yes,YouTube,5-7 Hours,1,1
20-30,Female,Self-employed,Complicated,2,2,2,2,1,4,5,5,4,1-4 times,No,Yes,Yes,Yes,More than  Hours,5,5,5,5,5,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Tiktok,5-7 Hours,4,3
20-30,Male,Student,In Relationship,5,3,2,1,1,3,3,4,2,More than 10 times,Yes,No,Yes,Yes,1-3 Hours,2,4,2,2,3,1,No,Yes,Yes,Yes,No,No,Yes,Yes,"Facebook, YouTube, LinkedIn",7-9 Hours,1,3
20-30,Female,Student,Single,3,2,1,1,1,2,1,2,1,1-4 times,Yes,Yes,No,Yes,0-1 Hours,2,2,2,2,3,1,No,Yes,Yes,Yes,No,Yes,No,No,"Facebook, Instagram, Tiktok, YouTube, LinkedIn, Snapchat",1-3 Hours,1,2
20-30,Male,Employed,Married,4,3,2,4,4,4,2,1,4,5-7 times,Yes,Yes,Yes,No,1-3 Hours,3,3,2,3,4,4,Yes,Yes,Yes,No,No,No,Yes,,"Facebook, YouTube, LinkedIn",5-7 Hours,2,3
20-30,Female,Employed,Single,2,3,2,1,2,4,4,1,2,8-10 times,Yes,Yes,Yes,No,4-6 Hours,3,2,2,4,2,2,Yes,Yes,Yes,Yes,No,No,No,Yes,Facebook,5-7 Hours,1,2
20-30,Male,Student,Single,2,1,1,1,1,1,1,1,1,5-7 times,Yes,No,No,Yes,1-3 Hours,2,1,1,1,1,1,No,Yes,Yes,Yes,No,No,No,No,"Facebook, YouTube",7-9 Hours,2,5
20-30,Male,Student,In Relationship,3,2,4,1,3,2,4,3,1,5-7 times,Yes,Yes,Yes,No,4-6 Hours,2,4,3,2,1,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,YouTube,5-7 Hours,2,2
20-30,Male,Self-employed,Single,3,1,2,5,1,2,3,1,1,5-7 times,Yes,Yes,Yes,No,1-3 Hours,3,3,4,2,3,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"Facebook, YouTube",3-5 Hours,1,3
20-30,Male,Student,Single,1,1,1,1,1,1,3,1,3,1-4 times,Yes,Yes,Yes,Yes,0-1 Hours,1,1,1,1,1,1,No,Yes,Yes,No,No,No,No,No,"Facebook, LinkedIn",5-7 Hours,1,1
20-30,Male,Student,In Relationship,3,1,4,2,1,1,1,1,1,8-10 times,Yes,No,Yes,Yes,1-3 Hours,1,2,1,1,1,3,No,No,Yes,No,No,No,No,No,"Facebook, YouTube, LinkedIn",7-9 Hours,1,1
20-30,Male,Student,Married,4,3,3,1,3,4,3,3,3,8-10 times,Yes,Yes,Yes,Yes,4-6 Hours,3,3,4,3,4,4,Yes,Yes,No,Yes,No,No,No,Yes,"Facebook, YouTube",5-7 Hours,1,3
20-30,Male,Student,Single,3,3,3,2,3,3,3,1,1,1-4 times,Yes,Yes,Yes,No,4-6 Hours,4,1,1,2,4,3,No,Yes,Yes,No,No,No,No,Yes,"Facebook, Instagram, YouTube, LinkedIn",5-7 Hours,2,3
20-30,Female,Student,Single,5,4,5,5,5,5,5,1,2,More than 10 times,No,Yes,No,No,4-6 Hours,5,5,5,5,1,1,Yes,Yes,Yes,No,Yes,No,No,Yes,"Facebook, Instagram, YouTube",7-9 Hours,3,3
20-30,Female,Employed,Single,5,3,2,3,5,5,2,3,1,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,2,2,3,4,1,3,Yes,Yes,Yes,Yes,No,No,No,No,"Facebook, YouTube, LinkedIn",7-9 Hours,1,3
20-30,Male,Student,Single,5,4,2,2,4,4,3,2,1,8-10 times,Yes,Yes,Yes,No,7-9 Hours,2,3,3,3,4,2,Yes,Yes,Yes,No,No,No,Yes,Yes,"Facebook, Instagram, YouTube",3-5 Hours,1,3
40-60,Male,Employed,Married,3,2,3,3,3,3,2,1,1,1-4 times,Yes,Yes,Yes,Yes,1-3 Hours,1,1,1,1,2,1,No,No,Yes,Yes,No,No,No,,"Facebook, YouTube",5-7 Hours,2,1
20-30,Male,Employed,Single,4,3,2,2,5,4,4,3,2,8-10 times,Yes,Yes,Yes,Yes,4-6 Hours,4,4,4,4,3,5,Yes,Yes,No,Yes,Yes,No,Yes,No,"Facebook, YouTube",5-7 Hours,1,3
20-30,Male,Student,Single,3,5,1,1,1,1,2,1,1,1-4 times,No,No,No,No,0-1 Hours,5,5,5,5,5,2,Yes,Yes,Yes,Yes,Yes,No,No,No,YouTube,5-7 Hours,1,1
40-60,Male,Employed,Married,4,2,2,1,3,2,3,1,1,5-7 times,Yes,Yes,Yes,No,1-3 Hours,1,1,1,2,1,1,No,Yes,Yes,No,No,No,Yes,,"Facebook, YouTube",5-7 Hours,2,3
20-30,Male,Student,Single,2,1,1,1,1,1,1,1,1,1-4 times,No,Yes,No,No,0-1 Hours,2,1,2,1,2,1,Yes,Yes,Yes,No,No,No,No,No,YouTube,5-7 Hours,1,2
20-30,Male,Employed,Married,4,5,2,5,5,5,4,5,1,5-7 times,Yes,Yes,Yes,No,1-3 Hours,5,4,4,2,4,5,Yes,No,Yes,Yes,No,No,No,Yes,"Facebook, Instagram, Tiktok, YouTube, LinkedIn",5-7 Hours,5,4
20-30,Female,Student,Married,5,5,5,5,5,5,5,5,3,More than 10 times,Yes,Yes,Yes,No,More than  Hours,5,4,4,4,5,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Facebook,5-7 Hours,3,5
20-30,Male,Student,Single,5,1,5,1,1,3,5,3,5,More than 10 times,Yes,No,Yes,No,More than  Hours,1,1,1,1,5,3,No,Yes,Yes,No,No,No,No,No,"Facebook, Instagram, YouTube, LinkedIn",5-7 Hours,1,3
20-30,Male,Student,Single,3,2,1,1,2,3,2,1,1,1-4 times,Yes,Yes,No,No,0-1 Hours,1,3,1,2,1,1,No,Yes,Yes,No,No,No,No,No,Twitter,5-7 Hours,1,1
30-40,Male,Employed,Married,4,2,3,1,4,3,3,1,2,8-10 times,Yes,Yes,Yes,Yes,1-3 Hours,3,4,1,3,2,2,No,Yes,No,No,No,No,Yes,Yes,"Facebook, YouTube",5-7 Hours,1,2
20-30,Male,Employed,Single,3,2,1,3,2,2,2,1,1,1-4 times,Yes,Yes,Yes,No,4-6 Hours,2,4,3,2,4,1,Yes,Yes,No,Yes,No,No,Yes,,"Facebook, YouTube, LinkedIn",5-7 Hours,1,2
20-30,Male,Unemployed,In Relationship,3,3,2,2,3,4,2,1,1,1-4 times,Yes,Yes,Yes,No,4-6 Hours,3,3,3,3,4,3,No,Yes,No,Yes,No,No,Yes,Yes,"Facebook, YouTube",3-5 Hours,1,3
20-30,Female,Self-employed,Single,3,1,3,1,3,4,2,1,1,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,1,1,2,1,1,1,Yes,No,Yes,No,No,No,No,No,YouTube,5-7 Hours,1,1
20-30,Male,Unemployed,Single,3,1,1,1,1,1,2,1,1,1-4 times,No,Yes,Yes,No,0-1 Hours,2,3,2,1,1,1,Yes,Yes,Yes,No,No,No,No,Yes,"YouTube, LinkedIn",7-9 Hours,2,2
20-30,Male,Student,In Relationship,2,1,1,1,1,1,2,2,2,1-4 times,Yes,Yes,No,Yes,0-1 Hours,2,1,2,1,2,1,No,Yes,Yes,No,No,No,No,No,"Instagram, YouTube",5-7 Hours,1,1
20-30,Male,Student,In Relationship,5,5,5,5,5,5,5,5,1,8-10 times,Yes,Yes,Yes,No,More than  Hours,5,5,5,5,5,5,Yes,No,No,Yes,No,No,Yes,Yes,"Facebook, Instagram, YouTube, LinkedIn",3-5 Hours,5,4
20-30,Male,Student,Single,4,4,1,5,1,5,5,1,1,5-7 times,Yes,No,No,No,1-3 Hours,3,5,1,5,1,1,Yes,Yes,Yes,No,No,No,No,Yes,"Facebook, Instagram, YouTube",5-7 Hours,1,2
30-40,Male,Self-employed,Married,2,1,1,1,1,1,2,2,1,1-4 times,Yes,Yes,No,No,0-1 Hours,1,1,1,1,1,1,No,Yes,Yes,No,No,No,No,,"Facebook, YouTube, LinkedIn",7-9 Hours,1,1
